Date,BTC_Bought,Price,Total_Invested,Total_BTC,Total_Value
2024-01-27,0.002392042273367076,41805.28125,100,0.002392042273367076,100.0
2024-02-10,0.0021137768577368285,47308.68333333333,200,0.004505819131103905,213.16437043066975
2024-02-24,0.001959859571706444,51024.063888888886,300,0.006465678702810349,329.90520321722346
2024-03-09,0.0014606137440122064,68464.37013888889,400,0.007926292446822556,542.6686199083388
2024-03-23,0.0015551617660369498,64301.99236111111,500,0.009481454212859506,609.6763963675168
2024-04-06,0.0014723956641260582,67916.52708333333,600,0.010953849876985564,743.9474418370576
2024-04-20,0.0015601549766944807,64096.19652777778,700,0.012514004853680046,802.1001144510412
2024-05-04,0.0015807503945069977,63261.09444444445,800,0.014094755248187043,891.6496429268896
2024-05-18,0.0014937027979542911,66947.72222222222,900,0.015588458046141333,1043.6117591458349
2024-06-01,0.0014781682822454724,67651.296,1000,0.017066626328386805,1154.579389463089
2024-06-15,0.0015120111805666746,66137.07708333334,1100,0.01857863750895348,1228.7367810329642
2024-06-29,0.001646739178539256,60726.07083333333,1200,0.020225376687492736,1228.2076573555325
2024-07-13,0.0017179131082651626,58210.16180555556,1300,0.0219432897957579,1277.3224495572636
2024-07-27,0.0014661393886410525,68206.33888888889,1400,0.02340942918439895,1596.6714601465605
2024-08-10,0.0016480164045384036,60679.00763888889,1500,0.025057445588937355,1520.4609323021725
2024-08-24,0.0015595068670339863,64122.834027777775,1600,0.02661695245597134,1706.7544246595023
2024-09-07,0.0018469582201376675,54143.07638888889,1700,0.028463910676109008,1541.12369006308
2024-09-21,0.001582003132366202,63211.0,1800,0.03004591380847521,1899.2322577475265
2024-10-05,0.0016107987951225014,62081.0,1900,0.03165671260359771,1965.2803751439494
2024-10-19,0.0014615609470914938,68420.0,2000,0.033118273550689206,2265.9522763381556
2024-11-02,0.0014393873967239543,69474.0,2100,0.03455766094741316,2400.858936660582
2024-11-16,0.0010972732759093652,91135.0,2200,0.035654934223322526,3249.4124304424986
2024-11-30,0.0010258304097166657,97482.0,2300,0.036680764633039195,3575.7142979579266
2024-12-14,0.0009858724478227006,101433.0,2400,0.037666637080861896,3820.639999023065
2024-12-28,0.0010621574542210137,94148.0,2500,0.03872879453508291,3646.238547888986
2025-01-11,0.0010561334952738026,94685.0,2600,0.039784928030356714,3767.0359105543257
2025-01-25,0.0009550095023445484,104711.0,2700,0.04073993753270126,4265.919598986682
